ノード番号,緯度,経度,3次メッシュID
0,36.7200349,137.3073323,5537264
1,36.719955,137.303255,5537264
2,36.7201252,137.2874416,5537262
3,36.7201076,137.3076787,5537264
4,36.7200619,137.2850476,5537262
5,36.7201271,137.3077714,5537264
6,36.7201999,137.3080805,5537264
7,36.720051,137.303367,5537264
8,36.720057,137.311469,5537264
9,36.7201596,137.309261,5537264
10,36.7201292,137.3109437,5537264
11,36.7202489,137.30822,5537264
12,36.7202234,137.3085696,5537264
13,36.7200898,137.2645014,5537261
14,36.7202264,137.3103223,5537264
15,36.7204559,137.2642976,5537261
16,36.720159,137.266039,5537261
17,36.7203,137.2873444,5537262
18,36.7202429,137.2647034,5537261
19,36.7202863,137.2635632,5537261
20,36.7203107,137.3083748,5537264
21,36.7204156,137.3115592,5537264
22,36.7202757,137.2728616,5537261
23,36.7203834,137.2648769,5537261
24,36.720394,137.2777492,5537262
25,36.7204724,137.3086698,5537264
26,36.7201105,137.2850174,5537262
27,36.7205171,137.2650579,5537261
28,36.7203995,137.2852432,5537262
29,36.7205959,137.28228,5537262
30,36.720563,137.2834446,5537262
31,36.7205362,137.3116209,5537264
32,36.7205494,137.306974,5537264
33,36.7204574,137.3141771,5537265
34,36.720597,137.285458,5537262
35,36.7206574,137.2717549,5537261
36,36.720705,137.2779093,5537262
37,36.7206458,137.3089278,5537264
38,36.7207052,137.3117172,5537264
39,36.7205312,137.2666627,5537261
40,36.7208194,137.2731422,5537261
41,36.720754,137.2872928,5537262
42,36.7206799,137.265295,5537261
43,36.72077,137.26745,5537261
44,36.7208027,137.311774,5537264
45,36.7208952,137.2975756,5537263
46,36.7209707,137.2658415,5537261
47,36.7207732,137.2855736,5537262
48,36.7208211,137.3091244,5537264
49,36.7209264,137.2731352,5537261
50,36.720971,137.2968547,5537263
51,36.7211723,137.266118,5537261
52,36.720885,137.307009,5537264
53,36.7209824,137.2730722,5537261
54,36.7209106,137.2856352,5537262
55,36.7210232,137.2846866,5537262
56,36.7209443,137.2857487,5537262
57,36.7210175,137.2859566,5537262
58,36.7209741,137.3092536,5537264
59,36.7209204,137.3119327,5537264
60,36.7212871,137.2663506,5537261
61,36.7210972,137.3122195,5537264
62,36.7210979,137.2843851,5537262
63,36.7211227,137.2861797,5537262
64,36.7211613,137.3125607,5537265
65,36.7211684,137.2727152,5537261
66,36.7211243,137.2953224,5537263
67,36.7211618,137.2949361,5537263
68,36.7212772,137.2665646,5537261
69,36.7210206,137.3093859,5537264
70,36.721155,137.307065,5537264
71,36.7212868,137.2844148,5537262
72,36.7212372,137.3133935,5537265
73,36.721233,137.2942513,5537263
74,36.721291,137.290514,5537263
75,36.7212846,137.291336,5537263
76,36.7213724,137.2722983,5537261
77,36.7212953,137.293613,5537263
78,36.7213222,137.2895962,5537263
79,36.7213451,137.2918931,5537263
80,36.7212958,137.3140671,5537265
81,36.7213406,137.2890955,5537263
82,36.7213333,137.2665348,5537261
83,36.7213555,137.2920006,5537263
84,36.7213315,137.2930092,5537263
85,36.7213667,137.2885974,5537263
86,36.7213389,137.2923588,5537263
87,36.7214183,137.2873049,5537262
88,36.721328,137.2855592,5537262
89,36.7215329,137.2870506,5537262
90,36.721334,137.286436,5537262
91,36.7213086,137.3045297,5537264
92,36.7214466,137.2669944,5537261
93,36.7213998,137.2865728,5537262
94,36.7214041,137.2878363,5537263
95,36.7214225,137.286652,5537262
96,36.721442,137.304639,5537264
97,36.7215664,137.2690205,5537261
98,36.7215664,137.2694755,5537261
99,36.7214888,137.2844785,5537262
100,36.7215603,137.2674052,5537261
101,36.7215985,137.2924033,5537263
102,36.7215993,137.2696145,5537261
103,36.721633,137.2682144,5537261
104,36.7216818,137.2697332,5537261
105,36.7216545,137.2678282,5537261
106,36.721644,137.2676578,5537261
107,36.72155,137.307133,5537264
108,36.721559,137.287876,5537263
109,36.7217803,137.2698323,5537261
110,36.7215599,137.285538,5537262
111,36.7216672,137.2650822,5537261
112,36.721696,137.2717603,5537261
113,36.7216639,137.2867775,5537262
114,36.7217181,137.2834927,5537262
115,36.721725,137.2845932,5537262
116,36.7217895,137.2645136,5537261
117,36.7217702,137.2829094,5537262
118,36.7218029,137.2825027,5537262
119,36.7218841,137.2816564,5537262
120,36.72178,137.304863,5537264
121,36.721876,137.2808079,5537262
122,36.7218323,137.2713979,5537261
123,36.7218513,137.2923642,5537263
124,36.721847,137.304884,5537264
125,36.721929,137.2711251,5537261
126,36.7219535,137.2847055,5537262
127,36.7218563,137.2863391,5537262
128,36.7219315,137.2835032,5537262
129,36.7219228,137.2861906,5537262
130,36.7219368,137.2855136,5537262
131,36.721905,137.2807573,5537262
132,36.7220558,137.270785,5537261
133,36.7220439,137.2673801,5537261
134,36.7219914,137.2700724,5537261
135,36.7221192,137.270611,5537261
136,36.7219914,137.265302,5537261
137,36.7222952,137.267704,5537261
138,36.7223152,137.309491,5537264
139,36.7222821,137.270225,5537261
140,36.7221741,137.2923118,5537263
141,36.7221831,137.2870855,5537262
142,36.7219929,137.2790517,5537262
143,36.7222229,137.2742974,5537261
144,36.722324,137.288051,5537263
145,36.722415,137.288058,5537263
146,36.722427,137.309323,5537264
147,36.722329,137.2655084,5537261
148,36.7224192,137.2922703,5537263
149,36.7224738,137.2847201,5537262
150,36.7223358,137.274332,5537261
151,36.7225607,137.3020023,5537264
152,36.7222781,137.2792454,5537262
153,36.7226299,137.2703969,5537261
154,36.722534,137.309246,5537264
155,36.7222923,137.2806665,5537262
156,36.722565,137.307184,5537264
157,36.7225518,137.2656589,5537261
158,36.7224078,137.2743274,5537261
