出発地のノード番号,到着側のノード番号,ウェイの距離[m]
4249,4300,78.71
4300,4299,434.98
4393,36679,80.34
36679,36676,79.74
36676,4371,545.01
20298,68822,68.15
68822,2483,119.49
2483,56124,13.73
56124,37799,12.54
37799,56131,120.57
56131,55127,16.62
55127,56126,11.75
56126,13505,66.03
13505,56136,54.31
56136,55114,16.41
55114,56133,10.32
56133,50101,120.23
50101,50112,15.08
50112,13557,52.4
13557,13567,53.94
13567,48414,63.64
48414,56106,17.09
56106,13607,141.14
13607,60877,110.48
60877,20077,18.09
20077,1097,254.15
7318,14197,14.19
14197,7318,14.19
14197,29808,5.09
29808,14197,5.09
29808,62223,85.81
62223,29808,85.81
62223,14693,16.2
14693,62223,16.2
14693,22407,81.63
22407,14693,81.63
22407,14185,25.52
14185,22407,25.52
14185,29811,32.18
29811,14185,32.18
29811,23220,15.43
23220,29811,15.43
23220,29813,18.46
29813,23220,18.46
29813,23221,10.29
23221,29813,10.29
23221,14174,28.09
14174,23221,28.09
14174,81138,36.25
81138,14174,36.25
81138,36603,15.54
36603,81138,15.54
56484,31527,7.43
16005,40265,27.48
40265,37775,19.02
37775,14167,64.84
14167,61991,49.18
61991,37774,39.17
37774,7152,11.03
7152,65668,6.45
65668,64237,24.28
64237,64238,21.92
64238,37772,86.72
37772,41497,7.18
41497,37771,3.94
37771,7132,5.0
7132,62009,10.09
62009,7134,53.92
21753,37766,13.38
37766,21753,13.38
37766,14131,91.02
14131,37766,91.02
14131,41516,7.51
41516,14131,7.51
41516,14133,20.98
14133,41516,20.98
14133,37769,76.69
37769,14133,76.69
37769,41517,102.8
41517,37769,102.8
17205,17206,3.73
17206,17205,3.73
17206,4254,35.63
4254,17206,35.63
4254,21356,58.84
21356,4254,58.84
21356,17213,45.78
17213,21356,45.78
17213,17215,16.46
17215,17213,16.46
17215,17224,80.61
17224,17215,80.61
17224,4255,12.25
4255,17224,12.25
4255,17234,78.74
17234,4255,78.74
17234,4256,27.65
4256,17234,27.65
4256,17242,21.59
17242,4256,21.59
17242,60439,43.35
60439,17242,43.35
60439,60432,9.08
60432,60439,9.08
60432,4257,8.81
4257,60432,8.81
4257,17251,50.17
17251,4257,50.17
17251,43365,48.07
43365,17251,48.07
43365,4259,17.31
4259,43365,17.31
4259,43366,15.21
43366,4259,15.21
43366,4260,66.61
4260,43366,66.61
4260,17255,20.77
17255,4260,20.77
17255,4262,19.09
4262,17255,19.09
4262,4263,48.84
4263,4262,48.84
4263,50337,57.68
50337,4263,57.68
50337,4265,9.87
4265,50337,9.87
4265,50340,11.57
50340,4265,11.57
50340,4266,54.38
4266,50340,54.38
4266,4267,60.02
4267,4266,60.02
4267,4268,49.88
4268,4267,49.88
4268,50368,9.4
50368,4268,9.4
50368,17392,18.73
17392,50368,18.73
17392,50371,20.7
50371,17392,20.7
50371,69610,69.84
69610,50371,69.84
69610,69611,24.02
69611,69610,24.02
69611,69612,78.59
69612,69611,78.59
69612,17453,20.58
17453,69612,20.58
17453,85596,7.66
85596,17453,7.66
85596,69613,29.1
69613,85596,29.1
69613,13128,41.4
13128,69613,41.4
13128,69615,9.7
69615,13128,9.7
69615,13123,103.47
13123,69615,103.47
13123,7084,1.23
7084,13123,1.23
68891,68892,27.85
68892,68891,27.85
68892,68893,47.33
68893,68892,47.33
68893,68894,51.62
68894,68893,51.62
68894,68895,35.03
68895,68894,35.03
68895,68896,48.66
68896,68895,48.66
68896,68897,48.68
68897,68896,48.68
68897,68901,41.74
68901,68897,41.74
68901,10924,24.03
10924,68901,24.03
10924,68903,26.15
68903,10924,26.15
68903,36689,22.45
36689,68903,22.45
36689,68904,14.9
68904,36689,14.9
68904,36704,16.86
36704,68904,16.86
36704,68905,13.91
68905,36704,13.91
68905,37021,24.0
