出発地のノード番号,到着側のノード番号,ウェイの距離[m]
17265,16854,329.48
16854,17265,329.48
16854,2869,6.43
2869,16854,6.43
1401,5038,37.97
5038,1401,37.97
5038,22428,55.62
22428,5038,55.62
22428,12435,8.48
12435,22428,8.48
12435,22423,6.64
22423,12435,6.64
22423,679,43.73
679,22423,43.73
679,1402,125.8
1402,679,125.8
1402,17265,28.86
17265,1402,28.86
17265,5925,1.31
5925,17265,1.31
5925,1403,85.27
1403,5925,85.27
1403,6890,140.19
6890,1403,140.19
6890,1404,10.81
1404,6890,10.81
1404,17849,47.04
17849,1404,47.04
17849,3267,5.98
3267,17849,5.98
3267,7146,160.44
7146,3267,160.44
7146,6889,6.89
6889,7146,6.89
6889,6897,10.83
6897,6889,10.83
6897,6901,9.99
6901,6897,9.99
6901,6898,4.22
6898,6901,4.22
6898,6899,12.94
6899,6898,12.94
6899,6900,16.66
6900,6899,16.66
6900,22334,10.29
22334,6900,10.29
22334,6902,36.89
6902,22334,36.89
6902,22331,4.11
22331,6902,4.11
22331,22333,2.79
22333,22331,2.79
22333,12436,5.33
12436,22333,5.33
12436,16859,44.57
16859,12436,44.57
16859,17851,63.71
17851,16859,63.71
17851,16855,38.65
16855,17851,38.65
16855,12437,74.69
12437,16855,74.69
12437,16854,3.27
16854,12437,3.27
16854,12438,108.87
12438,16854,108.87
12438,12439,103.22
12439,12438,103.22
12439,22435,12.06
22435,12439,12.06
22435,12440,28.84
12440,22435,28.84
12440,1405,17.18
1405,12440,17.18
1405,1401,165.21
1401,1405,165.21
10571,10570,1.65
10570,10571,1.65
10570,2016,101.11
2016,10570,101.11
2016,2015,98.5
2015,2016,98.5
2015,10572,28.11
10572,2015,28.11
10572,2004,177.08
2004,10572,177.08
2004,10569,45.83
10569,2004,45.83
10569,2009,4.4
2009,10569,4.4
2009,2014,3.8
2014,2009,3.8
2014,19682,3.21
19682,2014,3.21
19682,19685,75.01
19685,19682,75.01
19685,18442,17.88
18442,19685,17.88
18442,19692,93.95
19692,18442,93.95
19692,10566,4.81
10566,19692,4.81
10566,18430,29.31
18430,10566,29.31
18430,18418,32.62
18418,18430,32.62
18418,19693,139.51
19693,18418,139.51
19693,13700,45.19
13700,19693,45.19
13700,19695,4.32
19695,13700,4.32
19695,22332,4.59
22332,19695,4.59
22332,13686,4.44
13686,22332,4.44
13686,19696,22.85
19696,13686,22.85
19696,19698,116.36
19698,19696,116.36
19698,6903,5.71
6903,19698,5.71
6903,19699,5.06
19699,6903,5.06
19699,18395,36.74
18395,19699,36.74
18395,6904,38.8
6904,18395,38.8
6904,18394,24.42
18394,6904,24.42
18394,18392,141.08
18392,18394,141.08
18392,5046,44.8
5046,18392,44.8
5046,19700,6.21
19700,5046,6.21
19700,22439,7.21
22439,19700,7.21
22439,22440,32.1
22440,22439,32.1
22440,22441,49.05
22441,22440,49.05
22441,18407,73.1
18407,22441,73.1
18407,22446,14.2
22446,18407,14.2
22446,22442,17.44
22442,22446,17.44
22442,22445,13.16
22445,22442,13.16
22445,22449,13.34
22449,22445,13.34
22449,18437,5.17
18437,22449,5.17
18437,18439,57.24
18439,18437,57.24
18439,18443,89.45
18443,18439,89.45
18443,18446,33.36
18446,18443,33.36
18446,19747,41.24
19747,18446,41.24
19747,10571,10.75
10571,19747,10.75
19751,2887,128.33
2887,19751,128.33
2887,19752,95.5
19752,2887,95.5
19752,11349,128.29
11349,19752,128.29
11349,8194,22.1
8194,11349,22.1
8194,22443,15.81
22443,8194,15.81
22443,22437,13.21
22437,22443,13.21
22437,22447,13.79
22447,22437,13.79
22447,22450,17.12
22450,22447,17.12
22450,22448,14.05
22448,22450,14.05
22448,13952,8.12
13952,22448,8.12
13952,6401,75.3
6401,13952,75.3
6401,22467,104.7
22467,6401,104.7
22467,19745,41.2
19745,22467,41.2
19745,10575,6.19
10575,19745,6.19
10575,9533,2.82
9533,10575,2.82
9533,9535,49.21
9535,9533,49.21
9535,9536,128.19
9536,9535,128.19
9536,9537,119.29
9537,9536,119.29
9537,9534,41.26
9534,9537,41.26
19742,6406,6.52
6406,19742,6.52
6406,18454,104.21
18454,6406,104.21
18454,19743,55.11
19743,18454,55.11
19743,10251,18.37
10251,19743,18.37
10251,10249,16.35
10249,10251,16.35
10249,10250,11.76
10250,10249,11.76
10250,18451,10.4
18451,10250,10.4
18451,19744,49.57
19744,18451,49.57
19744,10213,4.92
10213,19744,4.92
10213,2007,5.2
2007,10213,5.2
2007,10236,4.46
10236,2007,4.46
10236,10235,132.12
10235,10236,132.12
10235,10234,5.61
10234,10235,5.61
10234,10233,5.66
10233,10234,5.66
10233,10232,71.92
10232,10233,71.92
10232,10231,7.93
10231,10232,7.93
10231,10230,6.58
10230,10231,6.58
10230,10229,16.78
10229,10230,16.78
10229,10228,4.77
10228,10229,4.77
10228,10227,6.03
10227,10228,6.03
10227,10216,154.4
10216,10227,154.4
10216,19705,41.76
19705,10216,41.76
3828,2857,31.8
2857,3828,31.8
2857,19760,28.02
19760,2857,28.02
19760,19761,48.65
19761,19760,48.65
19761,15556,9.08
15556,19761,9.08
15556,19751,95.8
19751,15556,95.8
4295,6891,8.63
6891,4295,8.63
6891,2883,41.97
2883,6891,41.97
2883,2882,124.51
2882,2883,124.51
2882,2881,71.95
2881,2882,71.95
2881,22421,41.24
22421,2881,41.24
22421,4296,6.24
4296,22421,6.24
4296,22426,10.42
22426,4296,10.42
22426,2884,48.86
2884,22426,48.86
2884,5039,60.4
5039,2884,60.4
5039,10395,10.11
10395,5039,10.11
10395,22432,9.49
22432,10395,9.49
22432,22433,21.97
22433,22432,21.97
22433,2886,17.64
2886,22433,17.64
2886,2018,14.02
2018,2886,14.02
2018,4297,16.92
4297,2018,16.92
4297,4298,116.32
4298,4297,116.32
4298,2027,7.17
2027,4298,7.17
2027,22436,7.41
22436,2027,7.41
22436,2889,40.96
2889,22436,40.96
2889,2890,143.28
2890,2889,143.28
2890,6892,94.07
6892,2890,94.07
6892,22329,3.65
22329,6892,3.65
22329,22330,3.67
22330,22329,3.67
22330,4299,4.07
4299,22330,4.07
4299,2888,39.73
2888,4299,39.73
2888,6896,8.27
6896,2888,8.27
6896,6893,14.05
6893,6896,14.05
6893,6894,16.73
6894,6893,16.73
6894,6895,15.9
6895,6894,15.9
6895,2885,90.28
2885,6895,90.28
2885,4295,137.45
4295,2885,137.45
4904,7196,21.26
7196,4904,21.26
7196,4905,7.99
4905,7196,7.99
4905,18494,33.74
18494,4905,33.74
18494,4906,62.94
4906,18494,62.94
4906,18495,66.42
18495,4906,66.42
18495,4907,31.47
4907,18495,31.47
4907,4909,51.31
4909,4907,51.31
4909,6435,35.7
6435,4909,35.7
6435,4910,6.5
4910,6435,6.5
4910,6430,6.25
6430,4910,6.25
6430,16863,54.95
16863,6430,54.95
16863,4911,133.21
4911,16863,133.21
4911,18473,14.03
18473,4911,14.03
18473,6412,39.28
6412,18473,39.28
6412,4912,6.73
4912,6412,6.73
4912,6410,7.11
6410,4912,7.11
6410,18463,44.12
18463,6410,44.12
18463,18462,102.6
18462,18463,102.6
18462,4913,139.36
4913,18462,139.36
4914,6405,5.28
6405,4914,5.28
6405,18458,60.78
18458,6405,60.78
18458,18459,73.11
18459,18458,73.11
18459,10248,56.95
10248,18459,56.95
10248,18460,49.07
18460,10248,49.07
18460,6408,41.99
6408,18460,41.99
6408,4915,7.57
4915,6408,7.57
4915,6407,7.07
6407,4915,7.07
6407,18456,33.44
18456,6407,33.44
18456,10256,100.02
10256,18456,100.02
10256,10255,10.36
10255,10256,10.36
10255,10254,18.29
10254,10255,18.29
10254,10253,13.78
10253,10254,13.78
10253,10252,8.15
10252,10253,8.15
10252,10257,5.99
10257,10252,5.99
10257,4916,4.5
4916,10257,4.5
4916,4917,71.63
4917,4916,71.63
4917,2005,5.18
2005,4917,5.18
2005,2011,3.98
2011,2005,3.98
2011,10258,4.61
10258,2011,4.61
10258,18449,37.5
18449,10258,37.5
18449,18450,111.29
18450,18449,111.29
18450,9888,136.86
9888,18450,136.86
4920,4919,156.55
4919,4920,156.55
4919,2003,3.32
2003,4919,3.32
2003,3094,124.22
3094,2003,124.22
3094,2012,5.92
2012,3094,5.92
2012,3089,6.19
3089,2012,6.19
3089,4918,4.48
4918,3089,4.48
4918,18445,46.27
18445,4918,46.27
18445,18440,81.32
18440,18445,81.32
18440,10567,62.71
10567,18440,62.71
10567,18413,99.04
18413,10567,99.04
18413,6885,147.31
6885,18413,147.31
6885,22327,4.72
22327,6885,4.72
22327,22328,3.6
22328,22327,3.6
22328,4921,4.6
4921,22328,4.6
4921,18396,44.73
18396,4921,44.73
18396,926,80.69
926,18396,80.69
926,18393,111.31
18393,926,111.31
18393,2024,40.59
2024,18393,40.59
2024,13976,1.76
13976,2024,1.76
13976,4922,12.39
4922,13976,12.39
4922,18398,66.44
18398,4922,66.44
18398,18271,54.87
18271,18398,54.87
18271,2031,12.2
2031,18271,12.2
4714,17852,5.41
17852,4714,5.41
17852,4713,6.82
4713,17852,6.82
4713,4712,58.71
4712,4713,58.71
4712,4711,43.29
4711,4712,43.29
4711,4710,54.2
4710,4711,54.2
4710,4709,80.4
4709,4710,80.4
4709,4708,89.46
4708,4709,89.46
4708,6225,13.2
6225,4708,13.2
6225,17200,62.93
17200,6225,62.93
17200,6226,57.76
6226,17200,57.76
6226,10243,69.84
10243,6226,69.84
10243,6227,105.75
6227,10243,105.75
6227,17843,52.04
17843,6227,52.04
17843,6228,15.51
6228,17843,15.51
6228,10241,43.54
10241,6228,43.54
10241,6229,6.88
6229,10241,6.88
6229,10239,9.06
10239,6229,9.06
10239,21893,62.02
21893,10239,62.02
21893,10237,20.43
10237,21893,20.43
10237,5204,18.9
5204,10237,18.9
6233,17418,101.61
17418,6233,101.61
17418,16866,78.42
16866,17418,78.42
16866,6234,66.36
6234,16866,66.36
6234,17424,109.95
17424,6234,109.95
17424,21883,2.82
21883,17424,2.82
21883,21891,6.33
21891,21883,6.33
21891,6235,1.01
6235,21891,1.01
6235,17425,79.19
17425,6235,79.19
17425,6238,5.78
6238,17425,5.78
6238,18508,280.86
18508,6238,280.86
18508,6240,11.79
6240,18508,11.79
6240,6242,59.6
6242,6240,59.6
6242,7331,40.57
7331,6242,40.57
7331,6243,5.72
6243,7331,5.72
6243,7329,4.69
7329,6243,4.69
7329,6255,44.05
6255,7329,44.05
6255,18498,28.05
18498,6255,28.05
18498,17841,58.55
17841,18498,58.55
17841,18502,37.3
18502,17841,37.3
18502,6254,93.59
6254,18502,93.59
6254,6253,62.6
6253,6254,62.6
6253,18504,35.01
18504,6253,35.01
18504,6252,36.0
6252,18504,36.0
6252,18506,14.66
18506,6252,14.66
18506,7332,58.65
7332,18506,58.65
7332,6251,7.11
6251,7332,7.11
6251,7333,6.18
7333,6251,6.18
7333,18507,48.71
18507,7333,48.71
18507,20820,50.88
20820,18507,50.88
20820,6250,37.14
6250,20820,37.14
6250,10244,53.8
10244,6250,53.8
10244,6249,4.47
6249,10244,4.47
6249,6248,149.22
6248,6249,149.22
6248,10242,63.24
10242,6248,63.24
10242,6247,1.84
6247,10242,1.84
6247,17848,6.39
17848,6247,6.39
17848,6230,4.56
6230,17848,4.56
6230,10240,3.32
10240,6230,3.32
10240,7646,78.11
7646,10240,78.11
7646,10238,4.61
10238,7646,4.61
10238,2901,2.92
2901,10238,2.92
2901,6232,9.06
6232,2901,9.06
19722,9829,6.8
9829,19722,6.8
9829,18472,40.91
18472,9829,40.91
18472,20813,54.33
20813,18472,54.33
20813,18471,33.98
18471,20813,33.98
18471,18470,81.22
18470,18471,81.22
18470,18469,28.87
18469,18470,28.87
18469,18468,72.01
18468,18469,72.01
18468,6245,117.83
6245,18468,117.83
6245,6411,30.88
6411,6245,30.88
6411,19739,7.32
19739,6411,7.32
19739,6413,9.09
6413,19739,9.09
6413,18474,36.66
18474,6413,36.66
18474,19738,89.31
19738,18474,89.31
19738,18492,18.19
18492,19738,18.19
18492,6431,95.04
6431,18492,95.04
6431,19737,12.03
19737,6431,12.03
19737,18496,39.42
18496,19737,39.42
18496,18497,99.68
18497,18496,99.68
18497,18499,78.86
18499,18497,78.86
18499,18500,51.32
18500,18499,51.32
18500,18503,88.62
18503,18500,88.62
18503,7330,109.46
7330,18503,109.46
7330,7324,10.03
7324,7330,10.03
7324,18493,38.9
18493,7324,38.9
18493,18483,107.5
18483,18493,107.5
18483,9835,4.29
9835,18483,4.29
9835,9834,13.5
9834,9835,13.5
9834,9833,9.43
9833,9834,9.43
9833,9832,8.32
9832,9833,8.32
9832,9831,15.46
9831,9832,15.46
9831,9830,47.65
9830,9831,47.65
9830,19722,4.1
19722,9830,4.1
2468,2461,20.81
2461,2468,20.81
2461,2442,33.27
2442,2461,33.27
2442,2430,29.62
2430,2442,29.62
2430,2422,37.72
2422,2430,37.72
2422,2420,10.94
2420,2422,10.94
2420,2421,43.12
2421,2420,43.12
2421,2418,18.35
2418,2421,18.35
2418,2417,25.19
2417,2418,25.19
2417,2416,9.35
2416,2417,9.35
2280,2301,278.05
2301,2280,278.05
2301,2360,28.22
2360,2301,28.22
2360,2395,28.85
2395,2360,28.85
2395,2398,23.22
2398,2395,23.22
2398,2409,5.96
2409,2398,5.96
23718,23729,17.73
23729,23718,17.73
